User 16825279: 14335,15448,4340239883,26946,3422,53793,9031920571,282929,18766,2452820820
User 15092180: 5808,15656,1126068419,98087,1013224538,19735,85577,180183,85381,3297
User 19625808: 24228,723476024,259551,3871382696,4440747756,5666649002,4340239883,2932,282929,1182080600
User 18549459: 22781,3259744496,295161,20826,15272,572421629,37855,23512,13276,9031920571
User 11011770: 5808,1126068419,98087,85577,29060,1013224538,246377,3297,180183,19735
User 12108578: 5808,1372047272,1126068419,15656,299312,180183,65,3918,84515,623826388
User 14312560: 1126068419,5808,29060,297160,246377,1013224538,178279,10103,37855,77592
User 18794426: 15656,1126068419,178279,27240,192159,3297,98087,28723,297160,22766
User 18699523: 259887,84498,298274,984511820,1013224538,19735,3641188801,5775,295161,192159
User 10751923: 15656,5808,98087,1126068419,1422147710,3297,29060,1013224538,292504,85577
User 12494390: 5808,15656,98087,1126068419,1013224538,3297,29060,19735,4027624215,1372047272
User 14168528: 178279,5808,15656,1013224538,98087,19735,1126068419,1422147710,1372047272,259887
User 10145540: 15656,5808,1126068419,98087,3297,1013224538,19735,85577,1422147710,85381
User 11582633: 1126068419,271357,1013224538,15656,37855,246377,984511820,178279,192159,22766
User 13270054: 287754,412221533,30690,6964380860,298274,3541,1399276087,613338059,984511820,5987
User 10603088: 51436,102238,2932,24046,248727,14335,14477,167270599,5303612776,20826
User 12687294: 271357,932399147,5808,37855,15656,178279,10103,4027624215,10100,10093
User 15484879: 1126068419,572421629,287754,1395055222,4772759303,1399276087,22766,28723,2275305671,283162
User 15666511: 19735,98087,178279,699596682,29060,932399147,16232,62564,180496,5775
User 10981725: 3412,1126068419,7990,15272,16232,932399147,192159,37855,292504,5987
User 10417172: 287754,19735,72608,10100,4027624215,1126068419,62564,1013224538,16232,5808
User 15020653: 4027624215,3259744496,10100,5666649002,5920177625,271357,175477,20488,19735,110172
User 16282660: 15656,1013224538,2652953122,178279,259887,37855,5808,65954,193792,252920
User 16164188: 15656,178279,29060,1372047272,1126068419,3297,259887,84480,192159,98087
User 13551252: 572421629,3422,51436,9031920571,30746,378772875,242492,5928583379,196624,274486
User 10882916: 932399147,271357,178279,5808,15656,72608,37855,3918,10100,84480
User 11443554: 62564,178279,1126068419,1367369652,15656,29060,562332391,5808,65,623826388
User 12294892: 178279,62564,4027624215,287754,85381,298274,84480,699596682,5808,1013224538
User 17627627: 5258449130,15656,18766,294406,259887,85577,562332391,74707,98087,251007
User 13907337: 1013224538,178279,5808,62564,29060,2652953122,15656,3297,298274,3918
User 14432338: 5808,15656,4027624215,3297,16232,37855,98087,1372047272,292504,1126068419
User 12067194: 178279,276537,287754,62564,1013224538,259887,1126068419,84469,19735,37855
User 10884708: 6964355876,902194547,184728,13276,98087,282928,15272,595244685,193792,167376
User 14122388: 1126068419,62564,5808,1367369652,29060,178279,15656,562332391,623826388,17115
User 12342431: 5808,178279,246377,110172,15656,1422147710,85381,98087,27240,267557
User 16428221: 178279,5808,297160,3641188801,292504,37855,10093,1126068419,61421,62564
User 16792355: 74707,1921968352,1029,22766,65882,60181,3259744496,2603278873,9031920571,20826
User 12465184: 5808,246377,178279,15656,110172,192159,4027624215,72608,10093,1422147710
User 12481481: 15656,29060,19735,932399147,287754,251007,110118,1372047272,562332391,5808
User 18001762: 1126068419,29060,178279,259887,1013224538,16232,5808,7990,1367369652,62564
User 15987325: 29060,62564,10100,251007,5808,84480,5775,37855,932399147,10093
User 19907884: 5808,252920,15656,28723,5610587670,1422147710,298274,26946,84498,3297
User 19676805: 98087,62564,29060,15656,5808,3297,180183,16232,1013224538,37855
User 15984185: 19735,62564,699596682,932399147,298274,180496,499,3297,271357,295161
User 12574098: 562332391,294406,1029,255230,1126068419,169119,193792,5808,15272,27240
User 14236258: 62564,178279,298274,15656,5808,51436,2652953122,180183,85381,145736
User 17832311: 1126068419,62564,5808,16232,259887,178279,572421629,29060,3297,65882
User 10464640: 5808,1422147710,298274,5610587670,252920,145736,1126068419,3297,74707,15656
User 11588493: 178279,19735,287754,1013224538,98087,192159,29060,699596682,16232,1372047272
User 14518480: 5808,178279,3297,297160,98087,84498,295161,1367369652,1126068419,15656
User 18838341: 295161,62564,51436,499,294406,32872,3259744496,271357,30746,602804672
User 13889180: 267557,286651,286633,274486,84480,1126068419,4027624215,298274,178279,3297
User 12517625: 5808,5610587670,252920,1422147710,28723,298274,15656,4486873654,4440747756,84498
User 16235004: 62564,110172,22781,286651,286633,267794,275643,4058681588,1126068419,562332391
